,AO1,AO2,AO3,AOA1,AOA2,AOA6,AOA7,GBM11,GBM23,GBM24,GBM26,GBM3,GBM30,GBM9,GS2,JPA2,O4
CLSTN3,1.76003730637243,0.424978563203032,1.4135832176195,0.707211828230354,0.0599638514094225,0.919341260056186,1.64835068268514,0.214431444002015,0.99063617932325,0.767427331240307,0.209879803154709,-0.229110917671285,-0.96044802053675,-0.211152418461903,-0.0194707552035526,0.562097411122283,0.7831821151156
MDK,-2.46196269362757,-2.11602143679697,-1.1854167823805,-1.21778817176965,-1.85803614859058,-2.75665873994381,-2.45464931731486,-0.444568555997985,-1.53259715401008,-1.69357266875969,-1.00812019684529,-0.258110917671285,-2.00944802053675,0.837847581538097,-1.76747075520355,-0.376902588877718,-0.9908178848844
MVP,1.93303730637243,1.54897856320303,2.9045832176195,2.64721182823035,3.46396385140942,2.97034126005619,1.45735068268514,0.813431444002015,1.83563617932325,2.93542733124031,2.06387980315471,-0.0551109176712854,-0.81944802053675,1.7018475815381,0.939529244796447,0.868097411122283,1.9411821151156
CCL2,-0.24996269362757,0.443978563203032,1.4828332176195,-1.18978817176965,1.36296385140942,1.21384126005619,0.420600682685143,1.98043144400201,0.74438617932325,0.910677331240307,1.97112980315471,3.31113908232871,4.31630197946325,0.073097581538097,1.32077924479645,1.45084741112228,0.6884321151156
FAM46A,-1.44696269362757,-0.935021436796968,-0.085416782380501,-0.345788171769646,0.0329638514094225,-0.751658739943814,-3.34364931731486,0.296431444002015,-0.49236382067675,-1.11557266875969,-1.82812019684529,0.296889082328715,-0.646448020536751,0.798847581538097,0.229529244796447,1.50709741112228,-1.7278178848844
PLA2G2A,-1.94896269362757,-1.54402143679697,-1.8874167823805,-0.577788171769646,-0.308036148590577,-1.75365873994381,-1.12764931731486,0.0384314440020151,-0.80336382067675,-0.0455726687596933,0.00287980315470937,2.82588908232871,2.66055197946325,4.9098475815381,0.539529244796447,0.120097411122282,-2.1388178848844
KCNQ2,3.18203730637243,3.21997856320303,3.7515832176195,4.24321182823035,2.44696385140942,2.38334126005619,4.09835068268514,4.10443144400202,2.49563617932325,1.68242733124031,2.49687980315471,2.26088908232871,-3.40144802053675,0.298847581538097,-1.26047075520355,1.20309741112228,3.9141821151156
CKMT1A,2.04603730637243,-0.120021436796968,2.4555832176195,0.278211828230354,0.0439638514094225,0.966341260056186,2.65535068268514,0.585431444002015,1.46563617932325,-0.207572668759693,1.72687980315471,-2.53711091767129,-1.29644802053675,-1.1291524184619,-0.324470755203553,-1.48390258887772,3.1421821151156
H24428,2.18903730637243,0.735978563203032,1.3095832176195,1.24421182823035,1.21996385140942,1.78134126005619,1.07435068268514,0.215431444002015,1.14963617932325,1.52442733124031,1.93487980315471,-0.801110917671285,-0.0514480205367508,0.122847581538097,0.995529244796447,0.935097411122283,1.9361821151156
KIAA0963,-0.61896269362757,-0.789021436796968,-0.231916782380501,0.402711828230354,-0.580536148590577,-0.485158739943814,-0.794649317314857,0.720431444002015,0.30463617932325,-0.407072668759693,0.111379803154709,0.948889082328715,0.502551979463249,0.540347581538097,-0.522470755203553,-0.0644025888777176,-0.3958178848844
NSF,1.91503730637243,0.173978563203032,1.4415832176195,1.03021182823035,0.239963851409423,0.943341260056186,1.53835068268514,-0.0965685559979849,1.10363617932325,0.889427331240307,1.34187980315471,-0.700110917671285,-0.292448020536751,-0.398152418461903,-0.357470755203553,0.137097411122282,1.8131821151156
RAB11FIP4,1.28103730637243,-0.300021436796968,0.328583217619499,-0.262788171769646,1.04596385140942,0.444341260056186,1.23035068268514,-0.551568555997985,0.99863617932325,0.0184273312403067,0.80787980315471,-1.58711091767129,0.388551979463249,-1.1591524184619,-0.526470755203553,-0.829902588877718,2.4391821151156
CD53,-0.0959626936275695,0.847978563203032,0.692583217619499,-0.406788171769646,1.24596385140942,1.51234126005619,0.189350682685143,1.37243144400202,0.86863617932325,1.31042733124031,1.00587980315471,2.10588908232871,3.02755197946325,1.6738475815381,1.52852924479645,2.10209741112228,-0.000817884884400044
IL21R,-2.35396269362757,-0.986021436796968,-2.1024167823805,-2.62778817176965,0.285963851409423,-0.208658739943814,-0.794649317314857,-0.626568555997985,-1.74736382067675,-1.75557266875969,0.466879803154709,0.238889082328715,0.127551979463249,-1.0031524184619,-1.04047075520355,-0.0329025888777176,-2.4428178848844
URP2,-0.0429626936275695,-0.0150214367969684,0.055583217619499,-0.196788171769646,0.384963851409423,0.633341260056186,0.545350682685143,1.02643144400202,0.83063617932325,0.949427331240307,0.262879803154709,1.22388908232871,2.05855197946325,1.0998475815381,1.68352924479645,1.55409741112228,-0.1908178848844
CAMK2A,1.93403730637243,0.281978563203032,1.1930832176195,1.03621182823035,0.314963851409423,0.330341260056186,1.89285068268514,0.196431444002015,1.51613617932325,0.846927331240307,2.48537980315471,-0.185610917671285,-0.73244802053675,-0.531152418461903,-0.283970755203553,-0.503902588877718,0.9261821151156
APCS,-0.12396269362757,-0.197021436796968,-0.510416782380501,-0.296788171769646,0.0149638514094225,0.676341260056186,0.904350682685143,1.73543144400202,1.01263617932325,0.825427331240307,0.0938798031547093,0.907889082328715,1.35855197946325,1.6448475815381,0.366529244796447,1.50509741112228,-1.1488178848844
HPRT1,-0.82896269362757,-2.41802143679697,-1.6854167823805,-1.75278817176965,-1.76503614859058,-1.37365873994381,-0.935649317314857,-1.99156855599798,-1.30736382067675,-1.84257266875969,-1.45312019684529,-1.85911091767129,-2.03144802053675,-2.3011524184619,-1.78947075520355,-2.45290258887772,-0.7058178848844
